ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
barbecue bun chicken sandwich wheat,1 submarine,270.0,67.0,23.3,1.52,4.42,32.0,16.47,513.0,6.0,0.2,0.0
barbecue bun chicken sandwich white,1 regular sandwich,180.0,61.0,24.86,1.61,4.4,21.0,15.92,531.0,6.0,0.6,0.0
barbecue meat,1 slice,60.0,23.0,12.23,1.36,11.17,19.0,18.14,601.0,6.0,0.2,0.6
barbecue bun pork sandwich wheat,1 submarine,270.0,70.0,23.3,1.8,8.86,32.0,15.52,549.0,4.0,0.2,0.5
barbecue bun pork sandwich white,Quantity not specified,180.0,65.0,24.86,1.89,8.83,21.0,14.97,567.0,4.0,0.6,0.5
barbecue pork sauce,Quantity not specified,85.0,21.0,0.0,1.32,15.87,22.0,24.75,422.0,3.0,0.0,1.1
barbecue pork sauce,1 cup,240.0,25.0,12.23,1.12,11.3,20.0,17.57,603.0,5.0,0.2,0.8
barbecue rib sandwich,Quantity not specified,190.0,72.0,26.5,2.09,6.47,20.0,13.66,466.0,2.0,0.9,0.4
barbecue sandwich,1 miniature/slider,90.0,63.0,24.86,1.94,8.12,21.0,15.34,561.0,4.0,0.6,0.4
barbecue sauce,Quantity not specified,34.0,33.0,40.77,0.64,0.63,13.0,0.82,1027.0,11.0,0.6,0.0
barfi burfi dessert indian,Quantity not specified,45.0,148.0,40.43,0.22,11.36,19.0,5.42,71.0,96.0,0.3,0.1
barley,"1 oz, dry, yields",110.0,11.0,27.23,1.28,2.74,21.0,2.2,199.0,24.0,0.0,0.1
basbousa,1 cubic inch,20.0,119.0,43.76,1.2,9.94,21.0,4.81,81.0,12.0,0.2,0.1
basil,1 leaf,0.5,177.0,2.65,3.17,0.64,64.0,3.15,4.0,264.0,18.0,0.0
bean cake,1 cake,32.0,15.0,49.88,2.58,21.41,21.0,5.8,186.0,0.0,0.3,0.0
bean chip,1 chip,3.0,36.0,53.12,4.01,21.58,96.0,14.6,410.0,1.0,1.7,0.0
bean bean dip make refried,1 individual container,70.0,26.0,15.89,1.6,3.7,40.0,5.44,443.0,0.0,0.6,0.0
bean paste sweeten,1 tablespoon,20.0,21.0,49.98,2.13,0.47,32.0,6.22,124.0,0.0,0.9,0.0
andor bean bean green salad string yellow,1 cup,150.0,27.0,13.0,1.32,5.0,23.0,3.52,266.0,5.0,9.1,0.0
bean cook sprout,Quantity not specified,58.0,56.0,6.08,2.8,6.93,48.0,9.8,126.0,12.0,6.3,0.0
bean sprout,1 cup,90.0,13.0,5.94,0.91,0.18,21.0,3.04,6.0,1.0,13.2,0.0
bean brown rice,1 cup,170.0,53.0,24.29,2.23,4.54,51.0,6.4,213.0,0.0,0.0,0.0
bean frank,Quantity not specified,130.0,33.0,17.29,1.36,5.22,25.0,6.74,438.0,1.0,0.0,0.1
bean fast food restaurant rice,Quantity not specified,170.0,53.0,24.41,2.47,6.99,39.0,6.29,299.0,0.0,0.0,0.0
bean meat rice,Quantity not specified,170.0,25.0,23.54,1.64,4.24,33.0,7.49,263.0,1.0,0.3,0.0
bean rice tomato,Quantity not specified,170.0,23.0,21.9,1.46,3.46,28.0,4.7,309.0,4.0,1.5,0.0
add bean fat tomato,Quantity not specified,130.0,31.0,17.84,1.63,5.58,39.0,6.05,351.0,7.0,2.5,0.0
add bean fat tomato,1 cup,255.0,32.0,18.76,1.71,0.51,42.0,6.37,370.0,7.0,2.7,0.0
bean rice white,Quantity not specified,170.0,54.0,25.19,2.55,4.21,40.0,6.5,231.0,0.0,0.0,0.0
bean meat n type,Quantity not specified,130.0,35.0,20.56,1.95,6.88,47.0,10.7,275.0,1.0,0.5,0.1
bean,Quantity not specified,92.0,39.0,23.78,1.96,7.08,51.0,8.34,217.0,0.0,0.5,0.0
add bean can fat n type,Quantity not specified,92.0,69.0,24.1,2.45,6.83,52.0,7.66,311.0,0.0,1.7,0.0
add bean can fat n type,Quantity not specified,90.0,72.0,25.04,2.53,0.81,54.0,7.96,323.0,0.0,1.8,0.0
add bean dry fat n type,Quantity not specified,92.0,39.0,23.78,1.96,7.08,51.0,8.34,217.0,0.0,0.5,0.0
add bean dry fat n type,Quantity not specified,90.0,41.0,25.44,2.08,0.62,55.0,8.92,232.0,0.0,0.6,0.0
bean fast food n restaurant type,Quantity not specified,130.0,82.0,22.6,3.35,9.32,57.0,8.77,354.0,0.0,0.0,0.0
bear,Quantity not specified,85.0,5.0,0.0,10.64,13.28,23.0,32.16,378.0,0.0,0.0,0.0
beaver,1 cup,135.0,22.0,0.0,9.92,6.9,29.0,34.57,366.0,0.0,3.0,0.0
beef broccoli,Quantity not specified,163.0,33.0,5.09,1.23,10.63,24.0,10.43,440.0,4.0,40.0,0.0
beef cheese macaroni sauce,"1 package, prepared",1245.0,50.0,12.26,1.05,5.42,16.0,9.12,394.0,17.0,0.0,0.2
beef cream noodle sauce white,1 cup,249.0,43.0,15.02,1.19,5.33,17.0,7.86,293.0,44.0,0.0,0.4
beef gravy noodle,Quantity not specified,311.0,11.0,15.39,1.24,5.07,16.0,7.7,304.0,4.0,0.0,0.1
beef mushroom noodle sauce,Quantity not specified,311.0,23.0,14.96,1.16,5.14,15.0,7.54,310.0,9.0,0.0,0.2
beef noodle sauce soybased,Quantity not specified,249.0,16.0,7.54,1.25,10.05,15.0,13.19,273.0,2.0,1.8,0.0
beef noodle sauce tomatobased,1 cup,249.0,24.0,10.67,1.17,3.93,11.0,8.74,274.0,8.0,0.1,0.1
beef noodle sauce,1 cup,156.0,16.0,16.24,1.76,8.41,20.0,11.37,377.0,20.0,0.0,0.1
beef cheese potato sauce,Quantity not specified,187.0,94.0,11.1,0.61,5.6,18.0,8.15,316.0,23.0,3.7,0.3
beef cream mushroom potato sauce sauce sauce white,Quantity not specified,189.0,34.0,8.66,0.77,3.79,11.0,8.04,337.0,12.0,1.7,0.3
beef potato sauce,1 cup,190.0,8.0,14.52,0.78,4.93,19.0,7.92,305.0,0.0,5.4,0.0
beef cheese rice sauce,1 cup,248.0,33.0,14.66,1.35,5.35,12.0,8.08,298.0,16.0,0.3,0.0
beef cream rice sauce,1 cup,248.0,41.0,15.9,1.02,5.24,12.0,6.7,303.0,39.0,0.0,0.4
beef gravy rice,1 cup,222.0,10.0,15.98,1.03,5.12,10.0,6.28,315.0,0.0,0.0,0.0
beef mushroom rice sauce,Quantity not specified,310.0,21.0,15.53,0.97,5.18,10.0,6.25,313.0,6.0,0.0,0.2
beef rice sauce soybased,1 cup,244.0,18.0,7.96,1.47,10.26,17.0,13.58,275.0,3.0,1.9,0.0
beef rice sauce tomatobased,Quantity not specified,305.0,11.0,15.88,1.29,5.15,14.0,6.39,308.0,7.0,2.1,0.0
beef rice sauce,Quantity not specified,245.0,8.0,17.23,1.2,5.0,11.0,7.27,312.0,0.0,0.0,0.0
beef broccoli carrot darkgreen exclude gravy leafy potato vegetable,Quantity not specified,189.0,13.0,6.47,0.81,7.34,13.0,8.11,312.0,5.0,1.2,0.0
beef broccoli carrot darkgreen exclude leafy potato sauce vegetable,Quantity not specified,121.0,12.0,5.16,0.99,7.09,16.0,10.03,324.0,6.0,1.5,0.0
beef broccoli carrot darkgreen exclude leafy potato sauce soybased vegetable,1 cup,217.0,19.0,4.34,1.25,9.15,17.0,12.13,245.0,8.0,13.2,0.0
andor beef broccoli carrot darkgreen gravy include leafy potato vegetable,1 cup,252.0,17.0,4.5,0.82,7.34,10.0,8.06,310.0,140.0,6.6,0.0
andor beef broccoli carrot darkgreen include leafy potato sauce vegetable,1 cup,162.0,19.0,3.0,1.14,6.73,13.0,11.41,316.0,206.0,9.7,0.0
andor beef broccoli carrot darkgreen include leafy potato sauce soybased vegetable,1 cup,217.0,26.0,4.65,1.23,8.81,17.0,11.72,249.0,135.0,14.8,0.0
beef hawaiian style vegetable,Quantity not specified,189.0,47.0,14.24,1.1,2.24,39.0,4.79,679.0,95.0,1.9,0.0
beef burgundy,Quantity not specified,183.0,20.0,4.19,1.84,6.0,23.0,18.48,369.0,1.0,2.0,0.1
beef chop chow mein noodle suey,1 cup,220.0,19.0,11.17,1.87,4.89,12.0,10.78,328.0,9.0,4.2,0.0
beef chop chow mein noodle suey,Quantity not specified,165.0,22.0,3.85,1.23,2.61,11.0,10.76,253.0,10.0,4.8,0.0
beef curry,Quantity not specified,240.0,20.0,6.53,1.15,6.57,17.0,7.57,359.0,47.0,8.9,0.0
beef curry rice,1 cup,200.0,16.0,15.12,1.17,4.05,15.0,5.61,314.0,28.0,5.4,0.0
beef dinner freeze meal,Quantity not specified,312.0,15.0,10.94,0.84,8.4,15.0,6.82,268.0,56.0,5.3,0.1
beef egg foo yung,Quantity not specified,131.0,32.0,4.78,1.59,8.08,14.0,13.82,321.0,83.0,1.7,1.1
beef jerky,1 Big Jerk,6.7,20.0,11.0,5.42,25.6,51.0,33.2,1785.0,0.0,0.0,0.3
beef meat mixture roll sauce stuff tomatobased vegetable,1 beef roll,134.0,13.0,6.61,2.21,9.08,24.0,20.56,351.0,92.0,1.6,0.2
beef salad,Quantity not specified,136.0,20.0,2.9,1.58,19.32,15.0,17.85,338.0,12.0,0.8,0.1
beef sausage,"1 cup, NFS",138.0,35.0,3.37,1.55,28.7,20.0,13.3,866.0,18.0,19.2,0.1
beef cheese sausage,"1 cup, NFS",138.0,138.0,3.75,1.47,28.54,21.0,13.65,922.0,42.0,16.4,0.7
beef exclude kabob potato shish vegetable,1 shishkabob,202.0,14.0,5.06,1.31,4.88,16.0,14.8,208.0,10.0,15.0,0.0
beef onion puerto rican steak style,Quantity not specified,134.0,17.0,3.89,2.01,24.12,23.0,20.92,999.0,0.0,2.2,0.2
beef potato puerto rican stew style,Quantity not specified,159.0,16.0,6.53,1.74,14.85,25.0,14.57,572.0,5.0,9.2,0.1
beef stroganoff,1 cup,256.0,40.0,6.21,0.94,9.33,15.0,10.06,458.0,32.0,0.6,0.1
beef noodle stroganoff,1 cup,256.0,30.0,8.99,0.92,6.8,14.0,7.76,316.0,23.0,0.4,0.1
beef beef cheese fill sauce taco taco tomato,1 cup,204.0,130.0,6.37,1.12,11.32,17.0,12.97,473.0,69.0,6.6,0.1
beef wellington,Quantity not specified,87.0,9.0,10.25,3.41,27.43,21.0,19.16,182.0,15.0,0.6,0.3
beef cream sauce white,Quantity not specified,192.0,41.0,2.75,1.86,9.31,18.0,22.5,340.0,41.0,0.0,0.4
beef gravy,1 large patty with gravy,158.0,8.0,1.58,1.79,7.05,15.0,21.56,360.0,0.0,0.0,0.1
beef mushroom sauce,1 cubic inch,17.0,20.0,1.83,1.8,7.54,16.0,21.97,355.0,6.0,0.0,0.2
beef sauce soybased,1 cup,244.0,19.0,3.35,1.51,12.38,18.0,15.86,333.0,3.0,2.3,0.0
beef freeze meal rice spaetzle vegetable,1 Stouffer's meal (10.5 oz),298.0,8.0,12.23,1.05,4.37,13.0,6.92,278.0,7.0,17.4,0.0
beef sauce sour sweet,1 cup,252.0,19.0,14.22,1.06,12.81,15.0,9.29,346.0,4.0,12.0,0.1
beef sauce tomatobased,1 slice with sauce,65.0,9.0,1.58,2.05,6.36,18.0,21.72,363.0,6.0,2.0,0.1
beef diet freeze meal vegetable,Quantity not specified,284.0,34.0,4.69,1.32,6.95,17.0,10.64,292.0,114.0,10.2,0.0
beef broccoli carrot darkgreen exclude leafy mushroom potato sauce vegetable,Quantity not specified,189.0,30.0,6.97,0.75,7.16,13.0,7.85,318.0,13.0,1.0,0.3
beef broccoli carrot darkgreen exclude leafy potato sauce tomatobased vegetable,1 cup,249.0,14.0,5.96,1.12,7.18,18.0,7.67,301.0,14.0,4.1,0.0
andor beef broccoli carrot darkgreen include leafy mushroom potato sauce vegetable,Quantity not specified,189.0,33.0,5.24,0.75,7.16,10.0,7.8,307.0,131.0,5.8,0.3
andor beef broccoli carrot darkgreen include leafy potato sauce tomatobased vegetable,Quantity not specified,187.0,19.0,4.48,1.22,6.99,15.0,8.24,300.0,149.0,9.8,0.0
beef,"1 piece/slice, any size",30.0,18.0,0.0,2.66,13.04,20.0,27.13,372.0,4.0,0.0,0.1
bacon beef cook,Guideline amount if topping,8.0,9.0,1.4,3.14,34.4,27.0,31.3,1500.0,0.0,0.0,0.2
bacon beef cook reduce sodium,Guideline amount on regular sandwich,12.0,11.0,1.43,1.44,41.78,33.0,37.04,1030.0,11.0,0.0,1.0
beef brisket,Quantity not specified,60.0,10.0,0.0,2.74,12.04,22.0,29.41,377.0,1.0,0.0,0.2
beef corn,1 oz yields,20.0,8.0,0.47,1.86,18.98,12.0,18.17,973.0,0.0,0.0,0.1
beef cow head,1 cup,135.0,13.0,0.0,2.18,16.46,20.0,25.9,357.0,3.0,0.0,0.2
beef chip cook dry fat,"1 oz, yield after cooking",27.0,7.0,2.5,2.19,11.32,17.0,28.12,2523.0,0.0,0.0,0.2
beef chip dry uncooked,1 jar (2.5 oz),71.0,8.0,2.76,2.42,1.94,19.0,31.1,2790.0,0.0,0.0,0.0
beef broccoli carrot darkgreen dumpling exclude gravy leafy vegetable,Quantity not specified,187.0,71.0,12.85,1.17,6.16,12.0,6.19,301.0,9.0,0.7,0.1
andor beef broccoli carrot darkgreen dumpling gravy include leafy vegetable,1 cup,249.0,73.0,11.7,1.17,6.36,10.0,6.15,306.0,86.0,3.8,0.1
beef use vegetable,Quantity not specified,14.0,16.0,0.0,2.96,6.82,23.0,32.41,67.0,2.0,0.0,0.1
beef grind,1 cubic inch,17.0,24.0,0.0,2.47,16.82,20.0,25.55,381.0,3.0,0.0,0.0
beef grind patty,1 large patty,120.0,27.0,0.0,2.41,18.18,20.0,25.45,383.0,3.0,0.0,0.0
beef grind,1 cup,225.0,15.0,0.0,2.07,14.88,18.0,18.44,373.0,4.0,0.0,0.1
beef egg grind onion,1 large patty,113.0,26.0,1.05,2.12,14.54,18.0,21.86,732.0,16.0,0.5,0.2
beef bone neck,Quantity not specified,85.0,13.0,0.0,2.18,16.46,20.0,25.9,357.0,3.0,0.0,0.2
beef broccoli carrot darkgreen exclude gravy leafy noodle vegetable,1 cup,249.0,13.0,14.94,1.12,5.05,17.0,6.68,305.0,6.0,0.7,0.1
beef broccoli carrot darkgreen exclude leafy mushroom noodle sauce vegetable,Quantity not specified,311.0,23.0,14.63,1.06,5.03,17.0,6.63,310.0,10.0,0.6,0.2
beef broccoli carrot darkgreen exclude leafy noodle sauce vegetable,Quantity not specified,202.0,14.0,18.29,1.48,4.91,22.0,8.78,300.0,7.0,0.9,0.1
beef broccoli carrot darkgreen exclude leafy noodle sauce soybased vegetable,1 cup,217.0,18.0,7.44,1.1,7.64,15.0,10.4,206.0,8.0,11.4,0.0
beef broccoli carrot darkgreen exclude leafy noodle sauce tomatobased vegetable,1 cup,249.0,14.0,14.86,1.35,5.07,20.0,6.77,306.0,11.0,2.5,0.1
andor beef broccoli carrot darkgreen gravy include leafy noodle vegetable,1 cup,249.0,15.0,13.81,1.12,5.04,15.0,6.65,305.0,83.0,3.8,0.1
andor beef broccoli carrot darkgreen include leafy mushroom noodle sauce vegetable,Quantity not specified,311.0,25.0,13.58,1.06,5.06,15.0,6.6,303.0,82.0,3.5,0.2
andor beef broccoli carrot darkgreen include leafy noodle sauce vegetable,1 cup,162.0,17.0,16.71,1.48,5.19,19.0,8.71,317.0,112.0,5.1,0.1
andor beef broccoli carrot darkgreen include leafy noodle sauce soybased vegetable,Quantity not specified,217.0,23.0,7.6,1.08,7.58,15.0,10.31,216.0,116.0,12.6,0.0
andor beef broccoli carrot darkgreen include leafy noodle sauce tomatobased vegetable,Quantity not specified,311.0,16.0,13.74,1.35,5.06,18.0,6.74,310.0,88.0,5.6,0.1
beef oxtail,1 cup,135.0,13.0,0.0,2.18,16.46,20.0,25.9,357.0,3.0,0.0,0.2
beef pot roast,1 regular/thin slice,60.0,14.0,0.0,2.91,15.35,20.0,28.39,370.0,5.0,0.0,0.1
beef broccoli carrot cheese darkgreen exclude leafy potato sauce vegetable,1 cup,252.0,94.0,12.97,0.69,5.43,21.0,8.17,305.0,25.0,4.2,0.3
beef broccoli carrot cream darkgreen exclude leafy mushroom potato sauce sauce sauce vegetable white,1 cup,252.0,21.0,12.19,0.57,6.69,16.0,5.33,303.0,8.0,3.6,0.1
beef broccoli carrot darkgreen exclude gravy leafy potato vegetable,1 cup,252.0,11.0,12.36,0.6,6.34,16.0,5.3,312.0,3.0,3.9,0.0
beef broccoli carrot darkgreen exclude leafy potato sauce soybased vegetable,1 cup,252.0,18.0,5.8,1.2,8.81,18.0,11.78,236.0,6.0,9.9,0.0
beef broccoli carrot darkgreen exclude leafy potato sauce tomatobased vegetable,Quantity not specified,189.0,12.0,12.28,0.82,6.56,19.0,5.39,305.0,8.0,5.7,0.0
andor beef broccoli carrot cheese darkgreen include leafy potato sauce vegetable,1 cup,252.0,96.0,11.82,0.69,5.43,19.0,8.14,304.0,104.0,7.4,0.3
andor beef broccoli carrot cream darkgreen include leafy mushroom potato sauce sauce sauce vegetable white,Quantity not specified,189.0,23.0,11.13,0.57,7.06,14.0,5.28,307.0,77.0,6.4,0.1
andor beef broccoli carrot darkgreen gravy include leafy potato vegetable,Quantity not specified,189.0,13.0,11.17,0.59,7.16,14.0,5.23,302.0,78.0,6.9,0.0
andor beef broccoli carrot darkgreen include leafy potato sauce vegetable,1 cup,162.0,14.0,13.46,0.78,5.15,18.0,6.93,313.0,107.0,9.4,0.0
andor beef broccoli carrot darkgreen include leafy potato sauce soybased vegetable,1 cup,252.0,22.0,5.96,1.21,8.82,18.0,11.75,246.0,91.0,10.9,0.0
andor beef broccoli carrot darkgreen include leafy potato sauce tomatobased vegetable,1 cup,252.0,14.0,11.13,0.82,6.96,17.0,5.33,310.0,83.0,8.7,0.0
beef broccoli carrot darkgreen exclude leafy potato sauce vegetable,Quantity not specified,121.0,12.0,14.97,0.78,5.1,21.0,6.97,305.0,4.0,5.3,0.0
beef deli luncheon meat prepackaged,Guideline amount on regular sandwich,56.0,5.0,0.64,2.05,3.69,20.0,18.62,853.0,3.0,0.0,0.0
beef deli luncheon meat prepackaged reduce sodium,"1 cup, pieces",140.0,5.0,0.64,2.05,3.69,20.0,18.62,640.0,3.0,0.0,0.0
beef broccoli carrot cheese darkgreen exclude leafy rice sauce vegetable,Quantity not specified,311.0,90.0,15.85,1.04,5.24,17.0,8.18,302.0,24.0,0.8,0.3
beef broccoli carrot darkgreen exclude gravy leafy rice vegetable,1 cup,249.0,12.0,16.13,0.99,5.18,13.0,5.8,314.0,3.0,0.7,0.0
beef broccoli carrot darkgreen exclude leafy mushroom rice sauce vegetable,Quantity not specified,311.0,22.0,15.73,0.94,5.23,13.0,5.81,306.0,8.0,0.6,0.2
beef broccoli carrot darkgreen exclude leafy rice sauce vegetable,Quantity not specified,202.0,13.0,20.0,1.32,4.29,16.0,7.62,333.0,4.0,0.9,0.0
beef broccoli carrot darkgreen exclude leafy rice sauce soybased vegetable,1 cup,217.0,18.0,7.75,1.25,7.96,17.0,10.88,212.0,7.0,11.4,0.0
andor beef broccoli carrot darkgreen exclude leafy rice sauce tomatobased vegetable,1 cup,249.0,13.0,16.08,1.22,4.99,16.0,5.91,302.0,9.0,2.5,0.0
andor beef broccoli carrot cheese darkgreen include leafy rice sauce vegetable,1 cup,249.0,97.0,15.54,1.09,5.51,16.0,8.58,303.0,104.0,4.0,0.3
andor beef broccoli carrot darkgreen gravy include leafy rice vegetable,Quantity not specified,311.0,14.0,15.01,1.0,5.18,11.0,5.77,307.0,80.0,3.7,0.0
andor beef broccoli carrot darkgreen include leafy mushroom rice sauce vegetable,Quantity not specified,311.0,24.0,14.69,0.94,5.23,11.0,5.78,311.0,79.0,3.5,0.2
andor beef broccoli carrot darkgreen include leafy rice sauce vegetable,1 cup,162.0,16.0,18.38,1.31,4.86,14.0,7.54,312.0,107.0,5.1,0.0
andor beef broccoli carrot darkgreen include leafy rice sauce soybased vegetable,Quantity not specified,217.0,24.0,7.9,1.24,7.7,17.0,10.56,217.0,118.0,12.8,0.0
andor beef broccoli carrot darkgreen include leafy rice sauce tomatobased vegetable,Quantity not specified,311.0,15.0,14.9,1.22,5.4,14.0,5.85,306.0,84.0,5.6,0.0
beef roast,1 cup,135.0,15.0,0.0,2.89,9.72,18.0,29.08,372.0,4.0,0.0,0.0
beef hash roast,Quantity not specified,142.0,14.0,10.74,1.43,5.1,17.0,13.2,486.0,2.0,5.5,0.0
beef sandwich steak,Quantity not specified,60.0,9.0,0.0,1.86,27.59,16.0,18.26,359.0,0.0,0.0,0.4
beef shortribs,1 cup,135.0,23.0,12.13,1.34,14.1,19.0,18.2,650.0,3.0,0.2,0.2
beef freeze gravy meal potato slice vegetable,1 Stouffer's meal (8-7/8 oz),252.0,10.0,6.59,0.91,7.28,14.0,8.12,296.0,138.0,1.7,0.1
beef steak,1 regular,160.0,16.0,0.0,2.64,12.88,21.0,27.0,369.0,5.0,0.0,0.1
beef eat fat lean steak tbone,1 oz yields,20.0,19.0,0.0,2.98,18.42,20.0,25.2,371.0,7.0,0.0,0.1
beef eat fat n steak tbone,Quantity not specified,300.0,19.0,0.0,3.05,15.56,21.0,26.16,372.0,7.0,0.0,0.1
beef eat lean steak tbone,"1 piece/slice, any size",30.0,19.0,0.0,3.13,12.69,22.0,27.12,373.0,7.0,0.0,0.1
beef chuck steak,Quantity not specified,160.0,13.0,0.21,3.23,13.43,23.0,25.97,380.0,7.0,0.0,0.1
beef country fry steak,1 thick,240.0,23.0,7.94,1.8,21.05,19.0,19.9,432.0,2.0,0.0,0.2
beef cube steak,1 thin,120.0,18.0,0.0,3.12,7.1,16.0,28.83,379.0,5.0,0.0,0.0
beef flank steak,1 regular,160.0,7.0,0.0,2.42,14.09,23.0,29.13,370.0,7.0,0.0,0.1
beef eat fat n ribeye steak,"1 piece/slice, any size",30.0,10.0,0.0,2.32,17.73,23.0,24.99,362.0,6.0,0.0,0.2
beef eat fat lean ribeye steak,1 cup,135.0,11.0,0.0,2.22,21.64,22.0,23.5,361.0,8.0,0.0,0.2
beef eat lean ribeye steak,1 cup,135.0,9.0,0.0,2.42,13.83,24.0,26.47,364.0,4.0,0.0,0.1
beef round steak,1 regular,160.0,18.0,0.0,3.21,4.25,17.0,29.72,382.0,5.0,0.0,0.0
beef eat fat n sirloin steak,1 cup,135.0,17.0,0.0,1.99,13.98,22.0,27.14,361.0,1.0,0.0,0.2
beef eat fat lean sirloin steak,1 regular,160.0,19.0,0.0,1.68,16.65,22.0,26.23,361.0,0.0,0.0,0.3
beef eat lean sirloin steak,1 cup,135.0,15.0,0.0,2.3,11.32,23.0,28.05,361.0,1.0,0.0,0.2
beef eat fat n steak strip,Quantity not specified,240.0,17.0,0.0,1.99,13.98,22.0,27.14,361.0,1.0,0.0,0.2
beef eat fat lean steak strip,1 cubic inch,17.0,19.0,0.0,1.68,16.65,22.0,26.23,361.0,0.0,0.0,0.3
beef eat lean steak strip,1 cup,135.0,15.0,0.0,2.3,11.32,23.0,28.05,361.0,1.0,0.0,0.2
beef steak tenderloin,1 oz yields,20.0,15.0,0.0,3.56,8.25,20.0,30.46,366.0,2.0,0.0,0.1
beef meat stew,1 cup,135.0,14.0,0.0,2.91,15.35,20.0,28.39,370.0,5.0,0.0,0.1
beef broccoli carrot darkgreen exclude leafy potato sauce soybased tofu vegetable,1 cup,217.0,42.0,4.45,0.98,7.96,19.0,7.52,230.0,8.0,12.8,0.0
andor beef broccoli carrot darkgreen include leafy potato sauce soybased tofu vegetable,1 cup,217.0,48.0,4.75,0.97,7.68,19.0,7.3,235.0,131.0,14.3,0.0
beer,1 bottle (40 fl oz),1200.0,4.0,3.55,0.02,0.0,6.0,0.46,4.0,0.0,0.0,0.0
alcohol beer higher,1 can or bottle (16 fl oz),480.0,8.0,0.27,0.03,0.0,12.0,0.9,4.0,0.0,0.0,0.0
beer light,1 can or bottle (16 fl oz),480.0,4.0,1.64,0.03,0.0,5.0,0.24,4.0,0.0,0.0,0.0
beer nonalcoholic,1 can or bottle (12 fl oz),360.0,7.0,8.05,0.06,0.12,7.0,0.21,13.0,0.0,0.5,0.0
beet cook green,1 cup,150.0,122.0,4.51,2.68,2.87,73.0,2.3,365.0,325.0,21.9,0.0
beet green,1 cup,38.0,117.0,4.33,2.57,0.13,70.0,2.2,226.0,316.0,30.0,0.0
beet juice,1 fl oz (no ice),31.0,12.0,5.91,0.57,0.06,14.0,0.72,19.0,1.0,2.5,0.0
beet cook form n,Quantity not specified,88.0,15.0,7.0,1.77,2.69,17.0,0.89,197.0,12.0,3.6,0.0
add beet can cook fat,1 cup,175.0,15.0,7.0,1.77,2.69,17.0,0.89,197.0,12.0,3.6,0.0
add beet can cook fat,1 whole,25.0,15.0,7.21,1.82,0.14,17.0,0.91,194.0,1.0,3.7,0.0
beet can cook reduce sodium,1 slice,10.0,14.0,6.79,0.65,2.79,17.0,0.84,31.0,13.0,2.6,0.0
add beet cook fat fresh,1 slice,10.0,17.0,9.65,0.81,2.82,23.0,1.63,205.0,14.0,4.2,0.0
add beet cook fat fresh,1 whole,50.0,17.0,9.93,0.83,0.18,24.0,1.67,202.0,2.0,4.3,0.0
beet pickle,1 whole,25.0,11.0,16.28,0.41,0.08,15.0,0.8,149.0,2.0,2.3,0.0
beet,1 cup,135.0,16.0,9.56,0.8,0.17,23.0,1.61,78.0,2.0,4.9,0.0
beignet,Quantity not specified,45.0,90.0,53.69,2.12,20.18,15.0,5.46,281.0,4.0,1.1,0.1
berry,Quantity not specified,75.0,16.0,9.94,0.28,0.25,11.0,0.66,0.0,2.0,44.2,0.0
berry freeze,1 cup,150.0,17.0,12.47,0.55,0.34,14.0,0.76,1.0,3.0,17.4,0.0
bibimbap korean,1 cup,162.0,25.0,8.11,0.93,2.44,28.0,5.5,435.0,113.0,10.5,0.0
big mac mcdonalds,Quantity not specified,205.0,127.0,21.53,1.4,14.1,25.0,11.94,485.0,27.0,0.3,0.1
biryani chicken,1 cup,196.0,34.0,13.55,0.84,2.38,19.0,7.15,161.0,19.0,6.2,0.1
biryani meat,1 cup,196.0,33.0,12.19,1.12,6.79,17.0,8.5,98.0,16.0,5.6,0.1
biryani vegetable,Quantity not specified,215.0,17.0,17.91,1.04,3.2,11.0,1.93,177.0,64.0,4.1,0.0
biscayne codfish puerto rican style,Quantity not specified,88.0,23.0,11.06,0.87,12.24,27.0,9.2,300.0,12.0,11.8,0.4
biscuit fruit,1 biscuit,45.0,69.0,46.47,2.66,17.05,17.0,6.7,884.0,16.0,0.2,0.0
biscuit gravy,1 biscuit with gravy,220.0,80.0,16.98,1.01,14.68,12.0,6.2,451.0,73.0,0.0,0.2
biscuit,Quantity not specified,45.0,70.0,42.82,2.76,18.92,15.0,7.08,979.0,18.0,0.0,0.0
biscuit cheese,1 biscuit,45.0,134.0,38.78,2.5,20.43,16.0,8.7,946.0,48.0,0.0,0.1
biscuit fast food restaurant,1 biscuit,70.0,70.0,42.82,2.76,18.92,15.0,7.08,979.0,18.0,0.0,0.0
biscuit dough refrigerate,1 biscuit,45.0,27.0,49.05,2.57,11.22,18.0,6.79,1002.0,0.0,0.0,0.0
biscuit home recipe,1 cubic inch,8.5,231.0,44.89,3.22,15.97,20.0,7.03,801.0,155.0,0.0,0.5
biscuit wheat,1 biscuit,45.0,70.0,43.9,3.15,18.19,45.0,7.5,930.0,17.0,0.0,0.0
bison,1 patty,85.0,14.0,0.0,3.16,8.55,23.0,25.25,383.0,0.0,0.0,0.0
