target_cleaned,recipe_cleaned,ingredient_cleaned,is_ok,ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,recipe,content,quantity,grammage,unit
flake oat,,oatmeal,True,oatmeal,"1 cup, dry, yields",485.0,12.0,11.17,0.67,2.63,24.0,2.18,81.0,16.0,0.0,0.0,,,,,
bread grain,,bread raisin,True,bread raisin,"1 slice, crust not eaten",13.0,196.0,52.21,3.2,3.26,28.0,8.82,408.0,0.0,0.2,0.0,,,,,
tuna,,fish tuna,True,fish tuna,Quantity not specified,90.0,18.0,0.08,1.67,0.94,23.0,19.0,219.0,17.0,0.0,1.2,,,,,
walnut,,exclude honey roast walnut,True,exclude honey roast walnut,1 cup,120.0,88.0,10.91,2.24,69.74,142.0,14.56,0.0,1.0,1.3,0.0,,,,,
ratatouille,,ratatouille,True,ratatouille,Quantity not specified,108.0,21.0,5.77,0.44,4.73,14.0,1.09,151.0,20.0,18.7,0.0,,,,,
bacon,,bacon bit,True,bacon bit,1 tablespoon,7.0,101.0,28.6,0.72,25.9,95.0,32.0,1770.0,0.0,1.9,0.0,,,,,
bouillon,,french onion soup,True,french onion soup,1 individual container,440.0,138.0,11.84,0.67,4.47,13.0,5.45,378.0,32.0,2.9,0.1,,,,,
seed sesame,,seed sesame,True,seed sesame,1 cup,128.0,60.0,11.73,6.36,61.21,345.0,20.45,47.0,3.0,0.0,0.0,,,,,
bake potato,,bake potato,True,bake potato,1 cup,130.0,5.0,21.45,0.35,0.1,25.0,1.95,181.0,0.0,12.7,0.0,,,,,
fennel,,nan,True,,,,,,,,,,,,,,,,,,
beetroot,,beet green,True,beet green,1 cup,38.0,117.0,4.33,2.57,0.13,70.0,2.2,226.0,316.0,30.0,0.0,,,,,
meat,,meat,True,meat,Quantity not specified,60.0,15.0,0.0,1.91,11.29,22.0,27.13,363.0,3.0,0.0,0.3,,,,,
cheese cook risotto without,,parmesan risotto truffle,True,,,,,,,,,,,,,,,,,,
roast sauce,,chicken mole sauce,True,chicken mole sauce,Quantity not specified,244.0,13.0,3.22,0.78,5.58,21.0,18.97,542.0,16.0,0.1,0.0,,,,,
philadelphia,,cheese cream plain regular,True,cheese cream plain regular,Quantity not specified,30.0,97.0,4.56,0.0,33.49,9.0,5.79,368.0,274.0,0.0,0.0,,,,,
